Sentence,Final Intent
तिम्रो नाम के हो,परि
तिमिलाई के भनेर चिन्छन अरुले,परि
तिमिलाई बोलाउनि नाम के हो,परि
म तिमिलाई के भनेर बोलाउ,परि
तिमिलाई के भनेर चिन्छन,परि
के तिम्रो नाम छ,परि
तिमि को हौ,परि
तिमीले के के गर्छौ,परि
तिमीले के के गर्न जानेछौ,परि
के जानेछौ तिमीले,परि
तिम्रो काम के हो,परि
यो रेस्टुरेन्टमा तिम्रो काम के हो,परि
तिमीलाई यहाँ किन राखेको,परि
मैले तिमीलाई के सोधनु,परि
यो रेस्टुरेन्टमा तिमीलाई किन राखेको,परि
के काम हो तिम्रो,परि
तिमीलाई के भनेर बोलाउ,परि
तिम्रो नाम,परि
को हौ तिमी,परि
तिम्रो नाम छ,परि
के हो तिम्रो नाम,परि
नाम भन त तिम्रो,परि
तिम्रो बारेमा भन मलाई,परि
तिम्रो बारेमा जानकारी देउ,परि
के गर्न जानेछौ,परि
काम के हो,परि
किन राखेको तिमीलाई,परि
के गर्न सक्छौ,परि
तिमीलाई के गर्न आउछ,परि
के के काम आउछ,परि
परि तिमीलाई कसले बनाएको,कम्पनि
तिमीलाई कुन कम्पनिले बनायो,कम्पनि
तिम्रो कम्पनीको बारेमा भन,कम्पनि
पाइला कस्तो कम्पनी हो,कम्पनि
के गर्छ पाइलाले,कम्पनि
पाइलाको काम के हो,कम्पनि
हामीले पाइला किन रोज्नु,कम्पनि
परि नाम कसले दियो,कम्पनि
तिमीलाई बनाएको कम्पनी कस्तो छ,कम्पनि
तिमीलाई बनाएको कम्पनीले के गर्छ,कम्पनि
पाइलाले के के काम गर्छ,कम्पनि
कम्पनी को बारेमा केहि भन,कम्पनि
यो रेस्टुरेन्टको नाम के हो,रेस्टुरेन्ट
यो होटलको नाम के हो,रेस्टुरेन्ट
यो रेस्टुरेन्टलाई के भनिन्छा,रेस्टुरेन्ट
यो होटेललाई के भनिन्छ,रेस्टुरेन्ट
यो ठाउको नाम के हो,रेस्टुरेन्ट
मैले यो रेस्टुरेन्टलाई के भनेर बोलाउनु ,रेस्टुरेन्ट
मैले यो होटेललाई के भनेर बोलाउनु,रेस्टुरेन्ट
मलाई यो रेस्टुरेन्ट को नाम भन,रेस्टुरेन्ट
नाम के हो यो रेस्टुरेन्ट को,रेस्टुरेन्ट
यो रेस्टुरेन्ट को बारेमा भन,रेस्टुरेन्ट
म यो रेस्टुरेन्टलाइ के भनेर चिन्नु,रेस्टुरेन्ट
