Intent,Count,Response
हुक्का,18,यहाँ हुक्का पाइन्छ। पान मिन्ट डबल एप्पल र स्ट्रबेरी फ्लेबरहरु छ। हुक्कालाई तिन सय रुपैया पर्छ अनि एउटा कोइल थपेको चालिस रुपैया हो। हुक्कालाई रेडी गर्न दस मिनेट लाग्छ।
चाउमिन,17,यहाँ चाउमिन पाइन्छ र हामी सँग चिकेन चाउमिन बफ चाउमिन र भेज चाउमिन छ| चाउमिन बन्न पन्ध्र मिनेट लाग्छ|
पिजा,17,यहाँ पिजा पाइन्छ र हामी सँग चिज पिजा मसरूम पिजा चिकेन पिजा र मिक्स पिजा छ | पिजा बन्न बिस मिनेट लाग्छ|
मोमो,17,यहाँ मोमो पाइन्छ र हामी सँग चिकेन मोमो बफ मोमो भेज मोमो र सी मोमो  छ| मोमो बन्न पन्ध्र मिनेट लाग्छ|
बफ चिल्ली,16,यहाँ बफ चिल्ली पाइन्छ। बफ चिल्ली लाई प्लेटको दुइ सय रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
बफ ससेज,16,यहाँ बफ ससेज पाइन्छ। बफ ससेज लाई प्लेटको एक सय पचास रुपैया हो र बन्न दस मिनेट समय लाग्छ।
चिकेन ससेज,16,यहाँ चिकेन ससेज पाइन्छ। चिकेन ससेज लाई प्लेटको दुइ सय रुपैया हो र बन्न दस मिनेट समय लाग्छ।
चिकेन सुकुटी,16,यहाँ चिकेन सुकुटी पाइन्छ। चिकेन सुकुटीलाई प्लेटको दुइ सय अस्सी रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
चिकेन ललिपप,16,यहाँ चिकेन ललिपप पाइन्छ। चिकेन ललिपप लाई प्लेटको दुइ सय रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
चिकेन लेगपीस,16,यहाँ चिकेन लेगपीस पाइन्छ। चिकेन लेगपीसलाई दुइ सय रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
चिकेन चिल्ली,16,यहाँ चिकेन चिल्ली पाइन्छ। चिकेन चिल्ली लाई प्लेटको दुइ सय पचास रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
आलु पकौडा,16,यहाँ आलु पकौडा पाइन्छ। आलु पकौडालाई प्लेटको एक सय बिस रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
बर्गर,16,यहाँ बर्गर पाइन्छ। बर्गरलाई एक सय पचास रुपैया हो र पन्ध्र मिनेट लाग्छ।
परि,16,मेरो नाम परि हो | म एउटा रोबोट हो र मलाई यहाँ यो रेस्टुरेन्टमा हजुरको सेवा गर्न को लागि राखिएको हो|
बफ सुकुटी,16,यहाँ बफ सुकुटी पाइन्छ।बफ सुकुटीलाई प्लेटको दुइ सय रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
